id,Name,Type,Cuisine,Address,District,Rating,AveragePrice
D1 0022,Quan Ut Ut  Barbecue & Beer  Vo Van Kiet,Restaurant,Asian,168 Vo Van Kiet,1,3.55,"200,000"
D1 0024,Sushi Masa  Thach Thi Thanh,Bistro,Japanese,"52 Thach Thi Thanh, P. Tan Dinh",1,3.85,"84,000"
D1 0026,My Y Spaghetti To Go  Tran Hung Dao,Restaurant,Italian,"393/9 Tran Hung Dao, P. Cau Kho",1,3.5,"60,000"
D1 0027,Beefsteak Hai Con Bo  Nguyen Cu Trinh,Bistro,Asian,85 Nguyen Cu Trinh,1,3.45,"87,500"
D1 0030,A Tung  Banh Mi Bo Nuong Bo Cambodia  Cong Quynh,Restaurant,Cambodia,171 Cong Quynh,1,3.7,"10,000"
D1 0033,TacoLeo  Am Thuc Mexico  Ho Hao Hon,Restaurant,Mexican,"48B Ho Hao Hon, P. Co Giang",1,3.7,"24,500"
D1 0034,Dae Jang Gum  Mplaza Saigon,Cafe,Korean,"Tang 1  Mplaza Saigon, 39 Le Duan, P. Ben Nghe",1,3.85,"240,000"
D1 0038,Tai Yang Cakes & Delights  Banh Bong Lan Dai Loan  Nguyen Cong Tru,Cafe,Taiwanese,"227229 Nguyen Cong Tru, P. Nguyen Thai Binh",1,3.85,"109,000"
D1 0039,Con Ga Trong Garden 1  Co Bac,Bistro,Cambodia,"46 Co Bac, P. Cau Ong Lanh",1,3.45,"200,000"
D1 0040,Pacey Cupcakes  Dang Dung,Restaurant,USA,"14 Dang Dung, P. Tan Dinh",1,3.75,"48,000"
D1 0041,Texas Chicken  Nguyen Thai Hoc,Cafe,USA,115 Nguyen Thai Hoc,1,3.55,"165,000"
D1 0044,Ga Ran Popeyes  Dien Bien Phu,Bakery,USA,"58/13 Nguyen Binh Khiem (Vong Xoay Nguyen Binh Khiem), P. Da Kao",1,3.45,"100,000"
D1 0046,A Ma Kitchen  Mon HongKong,Bakery,Chinese,"23 Ton Duc Thang, P. Ben Nghe",1,3.1,"175,000"
D1 0047,An Dem SG  Giao Do An Khuya  Mon Ngon Cac Nuoc,Restaurant,Korean,"165 Dien Bien Phu, P. Da Kao",1,3.5,"36,000"
D1 0050,Nguyen Sinh 1942  Pate Gio Cha Banh Mi  Tran Dinh Xu,Bistro,French,141 Tran Dinh Xu,1,3.7,"175,000"
D1 0054,Kohaku Udon & Ramen  Vincom Center,Bistro,Japanese,"B3  10C Vincom Center, 72 Le Thanh Ton, P. Ben Nghe",1,4.15,"244,500"
D1 0056,Fujiya Restaurant  Yakiniku Nabe Buffet,Bistro,Japanese,"B301 Vincom Center, 72 Le Thanh Ton",1,3.55,"300,000"
D1 0057,Buffet Liberty Asian Saigon Riverside,Restaurant,Asian,17 Ton Duc Thang,1,3.65,"530,000"
D1 0058,Chai Village  Sushi & Hai San Tuoi Song  Saigon House,Cafe,Japanese,"Tang 3 Saigon House, 77 Nguyen Hue, P. Ben Nghe",1,4.5,"275,000"
D1 0059,Curry Shika  Mochi & Dango,Bistro,Japanese,"1/4 Nguyen Van Trang, P. Ben Thanh",1,3.7,"147,000"
D1 0061,Mellow Creperie Cafe (Le Cottage Cu),Restaurant,USA,"51A Huynh Khuong Ninh, P. Da Kao",1,3.6,"69,500"
D1 0063,Chao Suon Chu Chen  Nguyen Trai,Restaurant,Chinese,"281  283 Nguyen Trai, P. Nguyen Cu Trinh",1,3.55,"57,000"
D1 0064,Koicha Saigon  Bubble Tea & Coffee,Restaurant,Japanese,"38 Phan Boi Chau, P. Ben Thanh",1,3.7,"50,000"
D1 0065,Rico Taco  Mexican Restaurant,Restaurant,Mexican,"74/7 Hai Ba Trung, P. Ben Nghe",1,3.75,"200,000"
D1 0066,Ca Phe Shelter Coffee & Tea  Le Thanh Ton,Restaurant,Asian,"13 Le Thanh Ton, P. Ben Nghe",1,3.75,"35,000"
D1 0071,Con Voi Vang  Hai Ba Trung,Cafe,Thailand,"34 Hai Ba Trung, P. Ben Nghe",1,3.8,"240,000"
D1 0073,Gammer Beer 107,Cafe,Czech,"107 Pasteur,  P. Ben Nghe",1,3.8,"240,000"
D1 0076,Do Do Quan  Mon Quang,Cafe,Asian,"10/14 Luong Huu Khanh, P. Pham Ngu Lao",1,3.35,"67,500"
D1 0078,BOC Homemade BBQ,Restaurant,Asian,"43 Nguyen Van Giai, P. Da Kao",1,3.9,"175,000"
D1 0080,"Yeebo Di Buu  Seafood, Hot Pot & Dimsum  Le Thanh Ton",Restaurant,Chinese,1 Le Thanh Ton,1,3.65,"480,000"
D1 0084,Tokyo Deli Express  Sushi  Tran Hung Dao,Restaurant,Japanese,"120Bis Tran Hung Dao, P. Pham Ngu Lao",1,3.9,"122,500"
D1 0086,Tra Sua Comebuy  Huynh Thuc Khang,Bakery,Taiwanese,"21 Huynh Thuc Khang, P. Ben Nghe",1,3.95,"45,000"
D1 0087,Au Parc  Mon Dia Trung Hai,Restaurant,Asian,"23 Han Thuyen, P. Ben Nghe",1,4,"325,000"
D1 0093,Hum Restaurant  Lounge & Restaurant,Restaurant,Asian,"2 Thi Sach, P. Ben Nghe",1,4,"152,500"
D1 0097,The Workshop  Coffee Shop,Restaurant,Asian,"Tang 2, 27 Ngo Duc Ke",1,3.6,"50,000"
D1 0098,Crystal Jade Kitchen  Saigon Centre  Nha Hang Quang Dong,Bistro,Chinese,"Tang 5, Saigon Centre, 65 Le Loi, P. Ben Nghe",1,3.7,"125,000"
D1 0099,Seoul Garden Vincom B,Restaurant,Korean,"B316A, Tang B3, Vincom Center, 72 Le Thanh Ton, P. Ben Nghe",1,3.6,"370,000"
D1 0102,Gyumaru Restaurant ??  Hamburger & Steak  Le Thanh Ton,Restaurant,Japanese,8/3 Le Thanh Ton,1,4,"200,000"
D1 0103,OMG Rooftop,Bistro,Asian,151719 Nguyen An Ninh,1,4.15,"350,000"
D1 0105,Ech Xanh  Nguyen Canh Chan,Bistro,Singapore,"371D Nguyen Canh Chan, P. Nguyen Cu Trinh",1,3.25,"205,000"
D1 0106,Dallas Cakes & Coffee  Ham Nghi,Cafe,Asian,"92 Ham Nghi, P. Ben Nghe",1,4.9,"160,000"
D1 0108,The Pizza Company  Nguyen Thai Hoc,Restaurant,Italian,"105  107 Nguyen Thai Hoc, P. Cau Ong Lanh",1,3.65,"175,000"
D1 0109,NATRAJ  Indian Cuisine  Bui Thi Xuan,Restaurant,Indian,41 Bui Thi Xuan,1,4,"62,500"
D1 0111,The Vintage Emporium Cafe  Brunch  Morrocan Eggs,Restaurant,Asian,95B Nguyen Van Thu,1,3.85,"100,000"
D1 0112,Haidilao Hot Pot  Bitexco Tower,Restaurant,Chinese,"Tang 2 Bitexco Tower, 2 Hai Trieu, P. Ben Nghe",1,4.3,"175,000"
D1 0114,Bon Appetit  Dinh Cong Trang,Restaurant,French,"30 Dinh Cong Trang, P. Tan Dinh",1,3.95,"100,000"
D1 0122,Somtam ZAAP  Mon an Thai,Bistro,Thailand,136 Pasteur,1,3.6,"115,000"
D1 0124,Beefsteak Titi  Tran Cao Van,Restaurant,French,"25 Tran Cao Van, P. Da Kao",1,3.25,"75,000"
D1 0130,Com Ga Hai Nam  Calmette,Restaurant,Chinese,"205207 Calmette, P. Nguyen Thai Binh",1,3,"75,000"
D1 0131,STEAK DELI,Restaurant,French,"6/1 Cach Mang Thang 8, P. Ben Thanh",1,3.65,"235,000"
D1 0133,Di Nam Sa Dec  Hu Tieu (Hu Tiu) & Banh Tam,Restaurant,Asian,"166 Bui Thi Xuan, P. Pham Ngu Lao",1,3.9,"27,500"
D1 0134,Yamamoto Mattcha Cafe Premium  Saigon Centre,Bistro,Japanese,"Tang B2, Saigon Centre, 65 Le Loi",1,3.85,"75,000"
D1 0135,Azabu Sabo  TTTM Takashimaya,Bistro,Japanese,"Tang Ham 2  TTTM Takashimaya, 92  94 Nam Ky Khoi Nghia, P. Ben Nghe",1,3.6,"57,500"
D1 0136,Le Resto  Mon Phap Gia Viet,Bistro,French,"357 Hoang Sa, P. Tan Dinh",1,3.4,"97,500"
D1 0137,No Name Restaurant  Mon Phap Gia Viet,Bistro,French,"357 Hoang Sa, P. Tan Dinh",1,3.25,"150,000"
D1 0140,Bigbro Korean Hotdog,Restaurant,Korean,"85 Ho Tung Mau, P. Ben Nghe",1,3.8,"50,000"
D1 0141,Beefsteak TiTi  Ho Hao Hon,Bakery,French,"30 Ho Hao Hon, P. Co Giang",1,3.2,"82,500"
D1 0144,Chef Lap  Ga Nuong Phap  Hai Ba Trung,Cafe,French,"180bis Hai Ba Trung, P. Da Kao",1,3.6,"80,000"
D1 0147,PAUL Bakery  Saigon Centre,Restaurant,Asian,"Tang 2 Saigon Centre, 65 Le Loi, P. Ben Nghe",1,3.8,"150,000"
D1 0148,Chuyy Quan  Mon Ngon Vi Mien Trung,Bar,Asian,"6/33 Cach Mang Thang 8, P. Ben Thanh",1,3.9,"36,500"
D1 0156,Tra Sua R&B Tea  Nguyen Thai Hoc,Bakery,Taiwanese,84 Nguyen Thai Hoc,1,3.5,"57,500"
D1 0159,Choice Hotpot  Buffet Lau Nhat,Cafe,Japanese,"B328AB, Tang 3, Vincom Center, 72 Le Thanh Ton",1,3.35,"239,000"
D1 0166,Dimsum Homemade  Ha Cao Dac Biet  Tran Khac Chan,Cafe,Chinese,77 Tran Khac Chan,1,3.05,"30,000"
D1 0167,"The Olive  An Vat, Burger, Steak",Cafe,Asian,"Lau 2  151 Dong Khoi, P. Ben Nghe",1,4.35,"172,500"
D1 0169,Bun Bo Ganh  Nguyen Du,Cafe,Asian,"135 Nguyen Du, P. Ben Nghe",1,3.3,"75,000"
D1 0174,Chivago Chicken  Ga Ran Han Quoc & Bia  Nguyen Thai Hoc,Bistro,Korean,"161 Nguyen Thai Hoc, P. Pham Ngu Lao",1,4.25,"300,000"
D1 0175,Nossa Steakhouse  Pham Hong Thai,Restaurant,Italian,"36 Pham Hong Thai, P. Ben Thanh",1,4.05,"292,500"
D1 0176,Grand Castella  Banh Bong Lan Dai Loan  Ho Tung Mau,Restaurant,Taiwanese,75  77 Ho Tung Mau,1,3.35,"75,000"
D1 0177,Osaka Ohsho Saigon Center  Quan Mi Ramen  Gyoza Nhat Ban,Restaurant,Japanese,"Lau 5, Saigon Centre, 65 Le Loi, P. Ben Nghe",1,3.7,"175,000"
D1 0178,Nha Hang Chay Mandala,Bistro,Asian,"110 Suong Nguyet Anh, P. Ben Thanh",1,3.5,"85,500"
D1 0181,Catina Kitchen  Nguyen Hue,Restaurant,USA,"Tang 2, 98 Nguyen Hue",1,3.95,"140,000"
D1 0185,Sup Cua & Goi Cuon Hoi An,Restaurant,Asian,"212B/D28/2 Nguyen Trai, P. Nguyen Cu Trinh",1,3.85,"18,500"
D1 0190,Com Nieu Thien Ly  Nguyen Dinh Chieu,Cafe,Singapore,16 Nguyen Dinh Chieu,1,3.85,"60,000"
D1 0191,Hoa Vien Brauhaus  Nguyen Thi Minh Khai,Restaurant,German,"18Bis/28 Nguyen Thi Minh Khai, P. Da Kao",1,3.7,"265,000"
D1 0193,Bake Cheese Tart  Ngo Duc Ke,Bistro,Asian,68 Ngo Duc Ke,1,3.85,"75,000"
D1 0196,QUI  Cuisine & Mixology,Cafe,Asian,"22  22Bis Le Thanh Ton, P. Ben Nghe",1,3.95,"300,000"
D1 0198,Chen Shabu Shabu  Nuong Khong Khoi  Nguyen Trai,Bistro,Japanese,152  154 Nguyen Trai,1,3.45,"300,000"
D1 0199,La Smoke House  Texas BBQ & Beer  Nguyen Trung Truc,Restaurant,American,"Tang 2, 5  7  9 Nguyen Trung Truc, P. Ben Thanh",1,4.25,"506,000"
D1 0202,Belgo Belgian Craft Beer Brewery  Nguyen Van Thu,Restaurant,Asian,"159A Nguyen Van Thu, P. Da Kao",1,4.05,"125,000"
D1 0215,Lau Long Bo Nhat Ban  Motsunabe Rakutenchi  Le Thanh Ton,Restaurant,Japanese,"8/16 Le Thanh Ton, P. Ben Nghe",1,3.6,"175,000"
D1 0221,Midoricha  Ice Cream & Drink,Restaurant,Japanese,"Lau 1, 84 Tran Hung Dao, P. Pham Ngu Lao",1,3.95,"45,000"
D1 0226,Geylang Lor 9  Chao Ech Singapore  Dong Du,Restaurant,Singapore,"35 Dong Du, P. Ben Nghe",1,3.75,"250,000"
D1 0228,Sushi Tony,Restaurant,Japanese,"219 Nguyen Cong Tru, P. Nguyen Thai Binh",1,4.1,"457,500"
D1 0231,Pho Kobe  Hoang Sa,Cafe,Japanese,"355 Hoang Sa, P. Tan Dinh",1,4.3,"175,000"
D1 0235,Thuy Moc Quan  Am Thuc Mien Trung  Bui Thi Xuan,Cafe,Asian,166 Bui Thi Xuan,1,3.6,"49,500"
D1 0241,Meet Fresh  TTTM Takashimaya,Bar,Chinese,"Tam Ham B2  02 TTTM Takashimaya, 92  94 Nam Ky Khoi Nghia, P. Ben Thanh",1,3.65,"97,500"
D1 0245,Mr. Bistek  Beefsteak Le Thi Rieng,Cafe,Asian,"11  13 Le Thi Rieng, P. Ben Thanh",1,4.15,"75,000"
D1 0246,Sushi Sun,Restaurant,Asian,46 Nguyen Cu Trinh,1,4,"35,000"
D1 0248,Ciao Bella  Mon Y,Bistro,Italian,"11 Dong Du, P. Ben Nghe",1,3.5,"162,500"
D1 0250,"Nha Hang Parsley  Steak, Pasta & Hon The Nua!",Cafe,Asian,"130 Nguyen Trai, P. Ben Thanh",1,4.4,"152,000"
D1 0255,Hebi Poke,Cafe,USA,"Tang 1112E, 100 Ham Nghi, P. Ben Nghe",1,3.8,"99,000"
D1 0257,Amun Restaurant & Lounge,Cafe,Arabian,"Tang 3, 215217 Ly Tu Trong, P. Ben Thanh",1,4.2,"270,000"
D1 0258,Daiichi  Ramen & Curry  Thai Van Lung,Restaurant,Japanese,"8A/2B2 Thai Van Lung, P. Ben Nghe",1,4.1,"95,000"
D1 0263,WowBox Salad  Luong Huu Khanh,Bistro,Asian,"65/4 Luong Huu Khanh, P. Cau Ong Lanh",1,4.05,"127,500"
D1 0264,Asiana Food Town  Cho Am Thuc Duoi Long Dat,Restaurant,Asian,"Tang Ham Khu B, Cong Vien 23 Thang 9, P. Pham Ngu Lao",1,3.85,"160,000"
D1 0265,The Racha Room  Mon Thai,Cafe,Thailand,12  14 Mac Thi Buoi,1,4,"125,000"
D1 0275,Nha Hang Nhat Enishi,Restaurant,Japanese,"28 Ngo Van Nam, P. Ben Nghe",1,3.65,"150,000"
D1 0276,Subway  Nowzone,Bakery,USA,"Lau 4, Nowzone, 235 Nguyen Van Cu, P. Nguyen Cu Trinh",1,3.4,"75,000"
D1 0278,The Refinery  Am Thuc Phap,Restaurant,French,"74/7C Hai Ba Trung, P. Ben Nghe",1,3.95,"350,000"
D1 0281,Akatonbo (Chuon Chuon Do)  Le Thanh Ton,Cafe,Japanese,"17/4 Le Thanh Ton, P. Ben Nghe",1,3.8,"180,000"
D1 0283,Robata AN  Japanese Dining  Le Thanh Ton,Cafe,Japanese,"15C Le Thanh Ton, P. Ben Nghe",1,3.85,"180,000"
D1 0286,Nara Thai Cuisine  Saigon Centre,Bistro,Thailand,"Saigon Centre, 65 Le Loi, P. Ben Nghe",1,3.4,"200,000"
D1 0287,Brotzeit  Nha Hang Duc  Mplaza Saigon,Bistro,German,"Tang 1  Mplaza Saigon, 39 Le Duan, P. Ben Nghe",1,3.9,"267,500"
D1 0290,King Rooftop Coffee  Hai Ba Trung,Restaurant,Asian,"31  33 Hai Ba Trung, P. Ben Nghe",1,3.75,"350,000"
D1 0291,Okome Sushi Bar,Bar,Japanese,"11B Nguyen Dinh Chieu, P. Dakao",1,3.95,"225,000"
D1 0295,Cafe Cardinal  Mon Phap  The Reverie Saigon,Restaurant,Asian,"Tang 6, The Reverie Saigon, 2236 Nguyen Hue",1,3.9,"300,000"
D1 0296,Com Ga Hong Xuong  Nguyen Trai,Bistro,Chinese,"357 Nguyen Trai, P. Nguyen Cu Trinh",1,3.15,"107,500"
D1 0299,Nha Hang Unatoto  Com Luon Nhat Ban,Bistro,Japanese,"56 Truong Dinh, P. Ben Thanh",1,3.9,"309,000"
D1 0300,Kyushu Udon Hitoyoshi  Nha Hang Nhat,Restaurant,Japanese,28 Ter A Mac Dinh Chi,1,4.35,"59,000"
D1 0302,The Elbow Room  Mon Au My,Bistro,Asian,52 Pasteur,1,3.75,"305,000"
D1 0303,Pasta Farm  Quan Mi Y,Restaurant,USA,"6 Yersin, P. Nguyen Thai Binh",1,3.5,"102,000"
D1 0304,ANH TUKK  Am Thuc Thai Lan,Cafe,Thailand,"Tang 1, 74/7 Hai Ba Trung, P. Ben Nghe",1,3.8,"200,000"
D1 0311,Shang Palace  Am Thuc Trung Hoa,Cafe,Chinese,"Lau 1, 17  19  21 Ly Tu Trong, P. Ben Nghe",1,4.1,"480,000"
D1 0317,Long Geylang  Chao Ech Geylang & Dimsum  Nguyen Cong Tru,Bistro,Singapore,"81 Nguyen Cong Tru, P. Nguyen Thai Binh",1,4,"315,000"
D1 0325,Nha Hang Thien Nam  Am Thuc Hoa & Phap,Restaurant,Chinese,53 Nam Ky Khoi Nghia,1,3.5,"375,000"
D1 0329,Tiger Sugar.Delivery  Duong Nau Sua  Nguyen Thai Hoc,Restaurant,Taiwanese,"236 Nguyen Thai Hoc, P. Cau Ong Lanh",1,3.65,"42,000"
D1 0330,Bornga Restaurant  Ly Tu Trong,Bistro,Korean,"45 Ly Tu Trong, P. Ben Nghe",1,3.8,"180,000"
D1 0333,La Fiesta  Mexican Restaurant,Restaurant,Mexican,"128 Ly Tu Trong, P. Ben Thanh",1,4.1,"150,000"
D1 0334,Kebab Station  Bui Vien,Restaurant,Asian,"207 Bui Vien, P. Pham Ngu Lao",1,4.1,"45,000"
D1 0338,Xing Fu Tang Vietnamese  Tra Sua Dai Loan  Nguyen Hue,Restaurant,Taiwanese,"44 Nguyen Hue, P. Ben Nghe",1,3.35,"55,000"
D2 0001,The Deck Saigon  Ven Song Saigon,Restaurant,Asian,"38 Nguyen U Di, P. Thao Dien",2,3.55,"242,500"
D2 0002,D'Maris  Buffet Cao Cap  Parkson Cantavil,Restaurant,Korean,"Tang 6 Parkson Cantavil, Xa Lo Ha Noi, P. An Phu",2,3.8,"445,000"
D2 0004,Cocorico  Ga Nuong Phap Rotisserie  Duong F,Restaurant,French,"134 Duong F, P. An Phu",2,3.9,"194,000"
D2 0006,Sumo BBQ  Vincom Mega Mall Thao Dien  Buffet Nuong & Lau,Restaurant,Japanese,"Tang 4, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,4.1,"350,000"
D2 0007,Hana BBQ & Hot Pot Buffet  Nguyen Quy Duc,Restaurant,Japanese,"65 Nguyen Quy Duc, P. An Phu",2,3.55,"170,000"
D2 0008,Mr. Kiss  Nha Hang Ga Han Quoc,Restaurant,Korean,"44 Song Hanh, P. An Phu",2,4.1,"300,000"
D2 0010,The Loop Restaurant & Coffee,Restaurant,Italian,49 Thao Dien,2,3.85,"179,500"
D2 0013,Kokois  Cafe Bistro & Store (nghi luon),Restaurant,Italian,24 Thao Dien,2,3.6,"35,000"
D2 0015,Poke  The Hawaiian Salad Bowl,Bistro,USA,"7 Duong So 14, Khu B, P. An Phu",2,3.7,"72,500"
D2 0019,Ga Ran Popeyes  Thao Dien,Restaurant,USA,20 Thao Dien,2,3.75,"37,500"
D2 0020,Boat House  Nha Hang Bo Song,Restaurant,Mexican,36 Thao Dien,2,3.3,"32,000"
D2 0023,Sushi To,Restaurant,Japanese,79C Song Hanh,2,3.8,"132,500"
D2 0024,Manwah Taiwanese Hotpot  Estella Place,Restaurant,Taiwanese,"Tang 2 Estella Place, 88 Song Hanh, P. An Phu",2,4.05,"50,500"
D2 0025,Tra Sua Tien Huong  Nguyen Thanh Son,Cafe,Chinese,"36 Nguyen Thanh Son, P. Thanh My Loi",2,3.15,"22,000"
D2 0026,Uraetei BBQ  Pho Dinh  Thao Dien,Restaurant,Japanese,4 Thao Dien,2,3.85,"125,000"
D2 0027,Dao Hua  Taiwanese Hotpot Paradise  Estella Place,Restaurant,Taiwanese,"Tang 3, L3  L10 Estella Place, 88 Song Hanh, P. An Phu",2,4.1,"17,500"
D2 0028,Kem Baskin Robbins  Thao Dien,Cafe,USA,"51 Thao Dien, P.Thao Dien",2,3.65,"70,000"
D2 0030,GAL BI JI JON  De Nhat Suon Nuong,Restaurant,Asian,"Tang 6 Parkson Cantavil, 1 Song Hanh",2,3.7,"55,000"
D2 0031,Texas Chicken  Vincom Mega Mall Thao Dien,Restaurant,USA,"Tang 5, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,3.5,"30,000"
D2 0034,King Dongas  Nha Hang Thit Chien Xu Han Quoc,Restaurant,Korean,"55 Cao Duc Lan, P. An Phu",2,4.25,"132,500"
D2 0037,Thai BBQ Buffet  Mon Nuong & Lau Thai Lan  Vincom Mega Mall Thao Dien,Restaurant,Thailand,"Tang 5, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,0,"165,000"
D2 0039,KAZAMA  Japanese Fusion Restaurant,Restaurant,Japanese,"14B15 Duong Thao Dien, P. Thao Dien",2,4.5,"43,000"
D2 0040,Kem Y Gelato Puppy & Cesar  Tong Huu Dinh,Cafe,Italian,"35 Tong Huu Dinh, P. Thao Dien",2,3.8,"47,500"
D2 0042,Bamboo Dimsum  Vincom Mega Mall Thao Dien,Bistro,Chinese,"Tang 5, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,3.7,"32,000"
D2 0044,Pendolasco  Nha Hang Y,Restaurant,Italian,"30 Tong Huu Dinh, P. Thao Dien",2,4,"130,000"
D2 0047,Go Thai Noodles  Mi Thai  Xuan Thuy,Bistro,Thailand,"94 Xuan Thuy, P. Thao Dien",2,3.7,"80,000"
D2 0054,Marukame Udon  Thao Dien,Restaurant,Japanese,"27 Thao Dien, P. Thao Dien",2,3.8,"40,000"
D2 0056,Meat & Meet Korean BBQ Container  Song Hanh,Restaurant,Korean,"L301 TTTM Estella Place, 88 Song Hanh, P. An Phu",2,3.7,"42,500"
D2 0057,Sushi Nhi,Bistro,Japanese,"210 Tran Nao, P. Binh An",2,3.95,"215,000"
D2 0063,Pendolasco Thao Dien  Delivery,Restaurant,Italian,36 Tong Huu Dinh,2,3.75,"31,000"
D2 0068,Lau Nam Thien Nhien Ashima  Xuan Thuy,Restaurant,Japanese,"93 Xuan Thuy, P. Thao Dien",2,4.2,"60,000"
D2 0071,Pasta Fresca  Thao Dien,Restaurant,Italian,28 Thao Dien,2,4.2,"55,000"
D2 0073,Papagayo Saigon,Restaurant,French,"18 Tran Ngoc Dien, P. Thao Dien",2,3.6,"548,000"
D2 0074,Lau Tuoi MK  Vincom Mega Mall Thao Dien,Restaurant,Thailand,"Tang 4, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,3.8,"80,000"
D2 0081,Bellany Ice Cream  Vincom Mega Mall Thao Dien,Cafe,French,"Tang 5, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,3.9,"25,000"
D2 0083,Sushi Hokkaido Sachi ?????  Estella Place,Restaurant,Japanese,"Estella Place, 88 Song Hanh, P. An Phu",2,4.2,"40,000"
D2 0084,Tama River  Am Thuc Nhat,Restaurant,Japanese,14E1 Thao Dien,2,3.75,"62,500"
D2 0086,Chaya GEISHA Japanese Restaurant,Bistro,Japanese,"35 Ngo Quang Huy, P. Thao Dien",2,4.4,"50,000"
D2 0087,Edo Yakiniku  Thit Bo Nuong Nhat Ban,Restaurant,Japanese,"161 Xa Lo Ha Noi, P. Thao Dien",2,3.15,"30,000"
D2 0096,Spice Temple  Nha Hang Mon Thai  Estella Place,Restaurant,Thailand,"Tang 2 Estella Place, 88 Song Hanh, P. An Phu",2,3.95,"72,500"
D2 0097,CLUB Fuji Noodles  Vincom Mega Mall Thao Dien,Restaurant,Japanese,"Tang 5, Vincom Mega Mall Thao Dien, 159 Xa Lo Ha Noi, P. Thao Dien",2,3.4,"47,500"
D2 0098,Haidilao Hot Pot  Estella Place,Restaurant,Chinese,"Tang 3, Estella Height, 88 Song Hanh, P. An Phu",2,4.2,"15,000"
D2 0102,SaSin  Mi Cay 7 Cap Do Han Quoc  Nguyen Thi Dinh,Bistro,Korean,"494 Nguyen Thi Dinh, P. Thanh My Loi",2,3.75,"75,000"
D2 0105,Poke House  Nha Hang Hawaii  Tran Ngoc Dien,Restaurant,American,"23 Tran Ngoc Dien, P. Thao Dien",2,3.7,"25,000"
D2 0111,Pizza Reale  Nguyen Dang Giai,Restaurant,Italian,"29 Nguyen Dang Giai, P. Thao Dien",2,4.35,"24,500"
D2 0116,Ech Xanh  Duong So 14,Restaurant,Singapore,"13 Duong So 14, Khu B, P. An Phu",2,4,"30,000"
D2 0118,Mochido  Mochi & Tea Leaf  Parkson Cantavil,Cafe,Japanese,"Tang 5 Parkson Cantavil, 1 Song Hanh, P. An Phu",2,3.3,"73,000"
D2 0123,Spice Bistro  Thao Dien,Restaurant,Asian,"32 Duong So 11, P. Thao Dien",2,3.5,"32,500"
D2 0124,GS Food  Dosirak  Shop Online,Restaurant,Korean,"95/6/43 Duong D4, P. Binh An",2,3.35,"27,500"
D2 0128,Relish & Sons  Burger Restaurant  Dang Huu Pho,Restaurant,USA,"2 Dang Huu Pho, P. Thao Dien",2,4.2,"80,000"
