id,Name,Type,Cusine,Address,District,Rating, Average 
D11_0034,Smoothies_In_The_City,Cafe,Vietnamese,"008_Cao_Oc_Thuan_Viet,_319_Ly_Thuong_Kiet,_P._15",11,3.85,35000
D11_0035,Ori_Cheese__Tra_Sua_&_An_Vat,Cafe,Vietnamese,"A2_Chung_Cu_Binh_Thoi,_Duong_Dinh_Nghe,_P._8",11,3.9,30000
D11_0036,Diao_Healthy_Bakery,Cafe,Vietnamese,"279_Ta_Uyen,_P._6",11,3.65,85000
D11_0037,Com_Me_Nau__Minh_Phung,Bistro,Vietnamese,"445A_Minh_Phung,_P._10",11,3.65,45500
D11_0038,Mi_Cay_Omega__Lac_Long_Quan,Bistro,Korean,"586_Lac_Long_Quan,_P._5",11,3.05,35000
D11_0039,Thien_Huong__Banh_Beo_Hue_&_Ram_It_Nam_Loc,Restaurant,Vietnamese,"12/1_Lu_Gia,_P._15",11,3.9,25000
D11_0040,Sui_Cao_162__Ha_Ton_Quyen,Bistro,Chinese,"162_Ha_Ton_Quyen,_P._4",11,3.65,75000
D11_0041,Don_Chicken__Nha_Hang_Ga_Nuong_Han_Quoc__Le_Dai_Hanh,Restaurant,Korean,"409A411A_Le_Dai_Hanh,_P._11",11,3.8,275000
D11_0042,Turin_Coffee,Cafe,Vietnamese,"451_Le_Dai_Hanh,_P._11",11,3.45,30000
D11_0043,Jenny's__Crepes_&_Sweets,Bakery,Vietnamese,"45/16_Ong_Ich_Khiem,_P._10",11,3.6,35000
D11_0044,Hy_Lam_Mon__Au_Co,Bakery,Vietnamese,"29_Au_Co,_P.14",11,3.6,142500
D11_0045,Com_Ga_Hai_Nam_&_Xoi_Mo__Au_Co,Bistro,Vietnamese,"95__97_Au_Co,_P.14",11,3.05,40000
D11_0046,Kim's_Milktea__Tran_Quy,Restaurant,Asian,"63B_Tran_Quy,_P._4",11,3.85,16500
D11_0047,Quan_Nuong_Bay_No,Bistro,Vietnamese,E34_Nhat_Tao,11,3.55,75500
D11_0048,Ba_Hoa__Dac_San_Hue,Bistro,Vietnamese,"64b__65b_Duong_So_2,_Cu_Xa_Lu_Gia",11,3.25,42500
D11_0049,Tra_Sua_BoBaPop__Lanh_Binh_Thang,Cafe,Taiwanese,"376_Lanh_Binh_Thang,_P._11",11,3.1,35500
D11_0050,Banh_Canh_Cua_Loc_Vung__Binh_Thoi,Bistro,Vietnamese,"19/3_Binh_Thoi,_P._11",11,3.45,121500
D11_0051,Duong_Thanh__Am_Thuc_Trung_Hoa,Bistro,Chinese,"64__68_Phan_Xich_Long,_P._16",11,3.4,173000
D11_0052,Mi_Y_Me_Ri,Restaurant,Italian,"36A/11_Duong_762_Hong_Bang,_P._1",11,3.8,12500
D11_0053,My_Lan__Banh_Ca_Nuong_Taiyaki,Bakery,Vietnamese,292_Lac_Long_Quan,11,3.3,12000
D11_0054,Nem_Nuong_Cho_Lon__Giao_Hang_Tan_Noi,Bistro,Vietnamese,"103/39_Lo_Sieu,_P._16",11,3.45,22500
D11_0055,Gogi_House__Quan_Nuong_Han_Quoc__Lanh_Binh_Thang,Restaurant,Korean,"323__325_Lanh_Binh_Thang,_P._8",11,4.15,294500
D11_0056,Com_Truyen_Ky__Quan_11,Bistro,Chinese,39/20_Ly_Thuong_Kiet,11,3.25,160000
D11_0057,Pha_Lau_Bo_A_Chay,Bistro,Vietnamese,"A03_Duong_Dinh_Nghe,_P._8",11,3.15,26500
D11_0058,Mi_Cay_Naga__Lac_Long_Quan,Bistro,Vietnamese,"353_Lac_Long_Quan,_P._5",11,3.9,50000
D11_0059,Bo_Ne_Ba_Ngon__Bo_Quanh_Lua_Hong__3_Thang_2,Bistro,Vietnamese,940_Duong_3_Thang_2,11,3.45,23500
D11_0060,Yu_Mei__Lau_&_Nuong,Bistro,Vietnamese,"427_Han_Hai_Nguyen,_P._1",11,3.35,190000
D11_0061,SaSin__Mi_Cay_7_Cap_Do_Han_Quoc__Hoa_Binh,Bistro,Korean,"52C_Hoa_Binh,_P._5",11,3.35,59000
D11_0062,Chu_Ba__Pha_Lau_&_Kho_Qua_Ca_Ot__Duong_Dinh_Nghe,Bistro,Vietnamese,"22_Duong_Dinh_Nghe,_P._8",11,3.9,48000
D11_0063,Thien_Huong__Com_Ga_Xoi_Mo_&_Mi_Xao,Bistro,Vietnamese,"140_Le_Dai_Hanh,_P._7",11,3.25,62500
D11_0064,Sushi__Lotte_Mart_Le_Dai_Hanh,Bistro,Japanese,"Tang_2F_Lotte_Mart_Le_Dai_Hanh,_968_Duong_3_Thang_2,_P._15",11,3.15,52000
D11_0065,Banh_Canh_Vit_Cai_Lay__Minh_Phung,Bistro,Asian,"347/5_Minh_Phung,_P._2",11,3.7,30000
D11_0066,Sun_Pizza__Pizza_Tuoi__Duong_3_Thang_2,Bistro,Italian,"1287/23_Duong_3_Thang_2,_P._16",11,3.45,125000
D11_0067,Bao_Bao__Co_So_San_Xuat_Rau_Cau_Banh_Flan,Bakery,Vietnamese,"203/18/23_Lac_Long_Quan,_P._3",11,5,30000
D11_0068,"Langbiang__Lau_Ga_La_E,_Banh_Uot_Long_Ga_&_Sua_Chua_Pho_Mai",Bistro,Vietnamese,"16/10_Lu_Gia,_P._15",11,3.95,177500
D11_0069,Lo_Dat_BBQ__Nuong_&_Lau_Tu_Chon__Minh_Phung,Bar,Vietnamese,396_Minh_Phung,11,3.85,52500
D11_0070,Bee_Coffee__Lac_Long_Quan,Cafe,Vietnamese,"497_Lac_Long_Quan,_P._5",11,3.35,20000
D11_0071,Lau_Dai_Thong_Restaurant__Mon_Hoa,Restaurant,Vietnamese,182_Le_Dai_Hanh,11,3.7,201000
D11_0072,Tra_Sua_Tien_Huong__Lanh_Binh_Thang,Cafe,Chinese,335_Lanh_Binh_Thang,11,3.2,32500
D11_0073,Tra_Sua_Longjing_Cha__Healthy_Drink,Cafe,Asian,"608_Minh_Phung,_P._9",11,3.9,35500
D11_0074,36_Kem_&_Tra,Cafe,Vietnamese,"36_Duong_So_9,_Cu_Xa_Binh_Thoi,_P._8",11,3.65,34000
D11_0075,Banh_Tieu_Nhan_Sau_Rieng__Ha_Ton_Quyen,Restaurant,Vietnamese,"133_Ha_Ton_Quyen,_P._4",11,4.1,4000
D11_0076,Banh_Canh_Vua,Bistro,Vietnamese,"172_Cong_Chua_Ngoc_Han,_P._12",11,3.4,99000
D11_0077,Ca_Ri_Ga_1357,Bistro,Vietnamese,"1357_Duong_3_Thang_2,_P._16",11,3.05,37500
D11_0078,Chao_Tieu_Co_Phuong,Bistro,Chinese,"108_Cong_Chua_Ngoc_Han,_P._13",11,3.85,25000
D11_0079,Quan_Cay_Dua__Lau_De,Bistro,Vietnamese,"212_Ly_Thuong_Kiet,_P._14",11,3,80000
D11_0080,Hoa_Bien__Hai_San_Tuoi_Song,Restaurant,Vietnamese,"52_Lu_Gia,_P._15",11,3.7,190000
D11_0081,Sinh_To_Man_Han__Lac_Long_Quan,Cafe,Vietnamese,"292_Lac_Long_Quan,_P._5",11,3.45,37500
D11_0082,Oc_Hong__Cong_Chua_Ngoc_Han,Bistro,Vietnamese,4_Cong_Chua_Ngoc_Han,11,3.45,37500
D11_0083,TuAu_Food,Bistro,Vietnamese,"295A_Ly_Thuong_Kiet,_P._15",11,4,47000
D11_0084,Banh_Uot_Long_Ga_Ha_Dong,Bistro,Vietnamese,"8_Cong_Chua_Ngoc_Han,_P._13",11,3.4,40000
D11_0085,Say_Coffee_24h__Le_Dai_Hanh,Cafe,Vietnamese,"195_Le_Dai_Hanh,_P._13",11,3.7,45000
D11_0086,Bot_Cafe__By_Kenle__Lanh_Binh_Thang,Cafe,Vietnamese,"248_Lanh_Binh_Thang,_P._13",11,4,35000
D11_0087,Xoi_Chien_Thanh_Tai__Lanh_Binh_Thang,Restaurant,Vietnamese,278_Lanh_Binh_Thang,11,3.6,10000
D11_0088,Pha_Le_Cafe__Thien_Phuoc,Cafe,Vietnamese,"77_Thien_Phuoc,_P._15",11,3.4,32000
D11_0089,Pizza_Gia_Re__Binh_Thoi,Bistro,Italian,3C_Binh_Thoi,11,3.4,65000
D11_0090,Oc_Phuong__Cong_Chua_Ngoc_Han,Bistro,Vietnamese,"47_Cong_Chua_Ngoc_Han,_P._13",11,3.3,107500
D11_0091,Banh_Trang_Nuong__Banh_Mi_Xiu_Mai,Restaurant,Vietnamese,"27_Lo_Sieu,_P._16",11,3.7,13500
D11_0092,Cok_Cok__Restaurant_Trai_Cay,Restaurant,Vietnamese,"191_Binh_Thoi,_P._9",11,3.65,27500
D11_0093,Nama_Chocolate_Corner__Cua_Hang_Socola_Tuoi,Restaurant,Vietnamese,"236/47_Thai_Phien,_P._8",11,3.75,150000
D11_0094,Uyen__Banh_Canh_Ca_Loc__Thien_Phuoc,Bistro,Vietnamese,"75B_Thien_Phuoc,_P._15",11,3.65,30000
D11_0095,Banh_Su_Que__Ly_Thuong_Kiet,Bakery,Vietnamese,"93_Ly_Thuong_Kiet,_P._7",11,3.5,21500
D11_0096,Con_Soi__Lac_Long_Quan,Cafe,Vietnamese,"187_Lac_Long_Quan,_P._3",11,4.4,20000
D11_0097,Com_Tam_95__Lo_Sieu,Bistro,Vietnamese,"95_Lo_Sieu,_P._16",11,3.4,37500
D11_0098,The_Coffee_House__Lanh_Binh_Thang,Cafe,Vietnamese,329_Lanh_Binh_Thang,11,3.75,42000
D11_0099,Tan_Lac_Vien__3_Thang_2,Restaurant,Vietnamese,"1197_Duong_3_Thang_2,_P._6",11,3.8,135000
D11_0100,Sui_Cao_Duc_Phat__Ha_Ton_Quyen,Bistro,Vietnamese,176_Ha_Ton_Quyen,11,3.8,38500
D11_0101,Com_Tam_Co_Hoa__Lanh_Binh_Thang,Bistro,Vietnamese,"306_Lanh_Binh_Thang,_P._11",11,3.9,50500
D11_0102,Bo_Nuong_Pho,Bistro,Vietnamese,"195_Binh_Thoi,_P._9",11,3.9,200000
D11_0103,Lang_Nuong_Nam_Bo__Hoa_Binh,Restaurant,Vietnamese,49_Hoa_Binh,11,3.55,160000
D11_0104,Lang_Nuong_Nam_Bo__Hoa_Binh,Bistro,Vietnamese,"43_Le_Thi_Bach_Cat,_P._13",11,3.3,112500
D11_0105,Kem_Xoi_Dua_Same_Same,Cafe,Vietnamese,"1504_Duong_3_Thang_2,_P._2",11,4,30000
D11_0106,Nippon_Sweet__Banh_Mochi__Shop_Online,Restaurant,Japanese,"217/31_Lanh_Binh_Thang,_P._12",11,3.2,52500000
D11_0107,Khu_Am_Thuc__Coopmart_Phu_Tho,Restaurant,Vietnamese,Lu_Gia,11,3.55,43000000
D11_0108,Seafood_And_Grill,Restaurant,Vietnamese,"293_Minh_Phung,_P._2",11,3.5,150000000
D11_0109,"Hoa_Hong__Banh_Mi,_Xoi_&_Banh_Bao",Restaurant,Vietnamese,"162_Nguyen_Thi_Nho,_P._15",11,4.15,17500000
D11_0110,Tokyo_Deli_Express__Sushi__Parkson_Flemington,Restaurant,Japanese,"Tang_Tret_Parkson_Flemington,_184_Le_Dai_Hanh,_P._15",11,3.2,200000000
D11_0111,Panna_Cotta_Lak_Lak,Cafe,Vietnamese,"265_Lanh_Binh_Thang,_P._12",11,4.25,27500000
D11_0112,Tra_Sua_Feeling_Tea__Duong_3_Thang_2,Restaurant,Vietnamese,"1230__1232_Duong_3_Thang_2,_P._8",11,3.5,37500000
D11_0113,Lau_Ca_Co_Hue__3_Thang_2,Restaurant,Vietnamese,"1345_Duong_3_Thang_2,_P._16",11,3.1,140000000
D11_0114,Jay_House_Coffee_Ice_Cream_&_Foods,Cafe,Vietnamese,"244A_Lac_Long_Quan,_P._10",11,4.35,35000000
D11_0115,Nha_Hang_Luc_Dinh_Ky__Mon_Hoa,Restaurant,Chinese,"T001,_Toa_Nha_The_EveRich,_968_Duong_3_Thang_2,_P._15",11,3.45,259000000
D11_0116,Oc_Phuong_2__Cao_Oc_Thuan_Viet,Restaurant,Vietnamese,"Lo_003_&_006_Cao_Oc_Thuan_Viet,_319_Ly_Thuong_Kiet,_P._15",11,3.2,52500000
D11_0117,Tra_Sua_Phuc_Khang,Cafe,Vietnamese,"141_Doi_Cung,_P._8",11,3.75,20000000
D11_0118,The_Alley__Tra_Sua_Dai_Loan__Le_Dai_Hanh,Cafe,Taiwanese,"243_Le_Dai_Hanh,_P._13",11,3.4,55000000
D11_0119,Chao_Suon_Bomni__Tue_Tinh,Restaurant,Vietnamese,"81_Tue_Tinh,_P._13",11,3.95,25000000
D11_0120,Com_Ga_Hong_Kong__Lo_Sieu,Restaurant,Chinese,"302_Lo_Sieu,_P._13",11,3.05,48500000
D11_0121,TranTran's__Thiem_Tay_Banh,Restaurant,Chinese,"157_Ton_That_Hiep,_P._13",11,3.9,31000000
D11_0122,Phap_Quan__Com_Van_Phong_&_Lau_Nuong,Restaurant,Vietnamese,"Lo_4_Chung_Cu_Phu_Tho,_Nguyen_Thi_Nho,_P._15",11,3.9,21500000
D11_0123,"An_Vat_My_Hung__Ha_Cao,_Banh_Xep,_Sup_Cua",Restaurant,Vietnamese,"317_Han_Hai_Nguyen,_P._2",11,3.6,37500000
D11_0124,Quan_An_Ngon_Mien_Trung,Restaurant,Vietnamese,"12/10_Lu_Gia,_P._15",11,3.4,26500000
D11_0125,Dau_Hu_Thui_84,Restaurant,Chinese,"84_Duong_So_9,_P._8",11,3.45,20000000
D11_0126,Quan_Nuong_So_5,Restaurant,Vietnamese,"504_Minh_Phung,_P._9",11,3.95,104000000
D11_0127,Pha_Lau_&_Com_Tam_63__Shop_Online,Restaurant,Vietnamese,"7/49_Trinh_Dinh_Trong,_P._5",11,3.2,35000000
D11_0128,Din_Ky__Bot_Chien_&_Hu_Tieu_Xao,Restaurant,Vietnamese,200_Ton_That_Hiep,11,3.8,21500000
D11_0129,Trai_Xoai__Banh_Trang_Deo_Mo_Hanh__Duong_3/2,Restaurant,Vietnamese,"1085_Duong_3/2,_P._6",11,3.25,20000000
D11_0130,Banana_Pancake__Banh_Chuoi_Thai,Restaurant,Thailand,"168/20_Tran_Quy,_P._6",11,4.1,23000000
D11_0131,Hong_Ky_Mi_Gia__Hong_Bang,Restaurant,Chinese,"648_Hong_Bang,_P._16",11,3.65,37500000
D11_0132,Gio_Cha_Tan_Phuoc_1__Nguyen_Thi_Nho,Bakery,Vietnamese,"134_Nguyen_Thi_Nho,_P._15",11,3.65,15000000
D11_0133,Pho_Lam__Au_Co,Restaurant,Chinese,243_Au_Co,11,3.5,55500000
D11_0134,Com_Tam_Cha_Cua,Restaurant,Vietnamese,"36_Binh_Thoi,_P._14",11,3.35,23000000
D11_0135,Thuan_Phat__Hu_Tieu_Mi_Suon_Kho_&_Hoanh_Thanh,Restaurant,Vietnamese,"1/106_Cu_Xa_Lu_Gia,_P._15",11,3.6,24000000
D11_0136,Lau_Ca_Co_Thu__Ly_Nam_De,Restaurant,Vietnamese,"140_Ly_Nam_De,_P._7",11,3.05,135000000
D11_0137,Banh_Uot_992__Duong_3_Thang_2,Restaurant,Vietnamese,"992_Duong_3_Thang_2,_P._12",11,3.05,45000000
D11_0138,Bun_Bo_Song_Huong__Hoa_Binh,Restaurant,Vietnamese,"62D_Hoa_Binh,_P._5",11,3.9,45500000
D11_0139,Com_Tam_Xe_Lua,Restaurant,Vietnamese,"297A_Ly_Thuong_Kiet,_P._15",11,3.4,42500000
D11_0140,Pho_Quynh__Nguyen_Thi_Nho,Restaurant,Vietnamese,"148_Nguyen_Thi_Nho,_P._15",11,3.5,45000000
D11_0141,Otoke_Chicken__Ga_Ran_Han_Quoc__Lac_Long_Quan,Restaurant,Korean,"280_Lac_Long_Quan,_P._10",11,4.25,164500000
D11_0142,Am_Thuc_Restaurant_Chay_An_Dong,Restaurant,Vietnamese,"2__4_Le_Dai_Hanh,_P._6",11,3.85,125000000
D11_0143,Chao_So_Huyet_265,Restaurant,Vietnamese,"274_Minh_Phung,_P._2",11,3.8,42500000
D11_0144,"Ga_Ta_Tuong_Vy__Com_Ga,_Chao_&_Goi_Ga__Lu_Gia",Restaurant,Vietnamese,"54_Lu_Gia,_P._15",11,4.45,192500000
D11_0145,Bo_Bia_1K,Restaurant,Vietnamese,Khu_Cu_Xa_Lu_Gia,11,3.9,7500000
D11_0146,Com_Ga_Rut_Xuong_Chien_Xu_&_Hamburger_1454,Restaurant,Vietnamese,"1454_Duong_3_Thang_2,_P._2",11,4.75,47500000
D11_0147,Cat_Khanh__Tiec_&_Tiec_Cuoi,Restaurant,Vietnamese,"288_Lanh_Binh_Thang,_P._11",11,3.3,410000000
D11_0148,An_Vat_Co_Chanh,Restaurant,Vietnamese,"159/238_Pho_Co_Dieu,_P._6",11,4.3,17500000
D11_0149,Ngan_Phat__Hu_Tieu_Nam_Vang,Restaurant,Vietnamese,"16/1_Lu_Gia,_P._15",11,3.45,24000000
D11_0150,Ai_Vy__Sinh_To_&_Nuoc_Ep,Restaurant,Vietnamese,"36__38_Cong_Chua_Ngoc_Han,_P._13",11,4.3,15000000
D11_0151,Yolo_Quan__Xien_Que_&_Da_Bao_Mat_Trai_Cay,Restaurant,Vietnamese,"330_Lac_Long_Quan,_P._5",11,3.85,14500000
D11_0152,Yen_Chi__Kem_Da_Tuyet_&_Banh_Trang_Nuong,Restaurant,Vietnamese,370/3_Minh_Phung,11,3.7,25000000
D11_0153,826__Hu_Tieu_Bo_Vien,Restaurant,Vietnamese,"736_Nguyen_Chi_Thanh,_P._4",11,3.65,37500000
D11_0154,Bun_Bo_Hue_Gia_Hoi__Lu_Gia,Restaurant,Vietnamese,"14A_Duong_So_2_Cu_Xa_Lu_Gia,_P.15",11,3.35,37500000
D11_0155,Quan_Com_Thu_Thao,Restaurant,Vietnamese,459__461_Le_Dai_Hanh_(Vong_Xoay_Au_Co_&_Le_Dai_Hanh),11,3.9,26500000
D11_0156,TocoToco_Bubble_Tea__Au_Co,Cafe,Vietnamese,"233_Au_Co,_P._5",11,3.1,58500000
D11_0157,"Fruit_Crush__Trai_Cay_Tuoi,_Banh_Trang_&_An_Vat",Restaurant,Vietnamese,93/4_Duong_100_Binh_Thoi,11,4.25,35000000
D11_0158,Diem_Tam_288__Bun_Thit_Xao_&_Chao_Bac_Thao,Restaurant,Vietnamese,"288_Do_Ngoc_Thanh,_P._4",11,3.3,23500000
D11_0159,Nova_Coffee_&_Tea,Cafe,Vietnamese,"57_Duong_So_2,_Cu_Xa_Binh_Thoi,_P._8",11,4,32500000
D11_0161,One_Steak__Chuyen_Bo_My_&_Ca_Hoi__Lo_Sieu,Restaurant,Vietnamese,"26A_Lo_Sieu,_P._16",11,3.9,55000000
D11_0162,Co_Tho__Lau_Ca,Restaurant,Vietnamese,"1353_Duong_3_Thang_2,_P._16",11,3.15,80000000
D11_0163,"Healthy_Bar_By_Zoe__Tra_Sua,_Nuoc_Trai_Cay_&_Banh_Dua_Hau",Cafe,Vietnamese,"172H__172I_Lac_Long_Quan,_P._10",11,4.65,46500000
D11_0164,TGT_Taiwan_Golden,Cafe,Vietnamese,"263_Au_Co,_P._5",11,4.05,40000000
D11_0165,LokCok_SaiGon__Thit_Cuu_Nuong,Restaurant,Vietnamese,"59C_Au_Co,_P._14",11,3.3,260000000
D11_0166,Oc_Ne_29K,Restaurant,Vietnamese,"Lo_B13,_319_Ly_Thuong_Kiet,_P._15",11,3.25,48000000
D11_0167,Quan_La_Ma_Quen__Duong_3_Thang_2,Restaurant,Vietnamese,1236A_Duong_3_Thang_2,11,3.2,20000000
D11_0168,Cuong_Ky_Mi_Gia__Ha_Ton_Quyen,Restaurant,Vietnamese,157_Ha_Ton_Quyen,11,4.1,40000000
D11_0169,Circus_Coffee_&_Tea,Cafe,Vietnamese,"189/95_Lanh_Binh_Thang,_P._12",11,3.9,30000000
D11_0170,Tra_Sua_First_Kiss__Binh_Thoi,Cafe,Vietnamese,"173_Binh_Thoi,_P._11",11,3.2,13500000
D11_0171,Royal_MilkTea__Lac_Long_Quan,Cafe,Vietnamese,"209_Lac_Long_Quan,_P._3",11,4.9,50000000
D11_0172,UmBo_Steak_House,Restaurant,Vietnamese,"488_Lac_Long_Quan,_P._5",11,3.85,35000000
D11_0173,Banh_Trang_Tron_Mo_Hanh_Toi__Sanji_Kun__Shop_Online,Restaurant,Vietnamese,"Tang_2,_189_Duong_Tu_Giang,_P._4",11,4.3,15000000
D11_0174,Bach_Tuoc_Nuong_Kien_Giang__Hoa_Binh,Restaurant,Vietnamese,38_Hoa_Binh,11,3.05,60000000
D11_0175,Zet_Bakery__Pancake_Sau_Rieng__Xom_Dat,Bakery,Vietnamese,"62/25_Xom_Dat,_P._8",11,3.65,73500000
D11_0176,113_Tea__Han_Hai_Nguyen,Cafe,Vietnamese,"113_Han_Hai_Nguyen,_P._2",11,3.85,11500000
D11_0177,Banh_Mi_Chao_Op_La_Suon_&_Nui_Suon__Duong_So_3A,Restaurant,Vietnamese,"Duong_So_3A,_P._8",11,3.5,22500000
D11_0178,BaoCha_Milk_Tea_&_Coffee__3_Thang_2,Cafe,Asian,"1525/11_Duong_3_Thang_2,_P._16",11,3.9,22500000
D11_0179,Leisure_Tea,Cafe,Chinese,"1362_Duong_3_Thang_2,_P._2",11,4.2,40000000
D11_0180,Buu_Lam__Mon_Chay,Restaurant,Vietnamese,121__123_Nguyen_Thi_Nho,11,3.9,115000000
D11_0181,Pho_Mai_Que_Au__Han_Hai_Nguyen,Restaurant,Vietnamese,"45/18_Han_Hai_Nguyen,_P._16",11,4.25,102000000
D11_0182,Tra_Sua_Cactus,Restaurant,Vietnamese,"4C_Lo_Sieu,_P._16",11,4.3,23500000
D11_0183,Tia_Lia__Tra_Sua_Tran_Chau,Restaurant,Vietnamese,"279/9_Trinh_Dinh_Trong,_P._5",11,3.2,19000000
D11_0184,Du_Am_Cafe__Com_Van_Phong_&_Mi_Y,Cafe,Vietnamese,"6/27_Tan_Hoa,_P._1",11,3.55,37500000
D11_0185,Ping_Cha__Ong_Ich_Khiem,Cafe,Vietnamese,"45P_Ong_Ich_Khiem,_P._10",11,3.2,32500000
D11_0186,Quan_Sua_Kim_Lien,Restaurant,Vietnamese,"478_Tan_Phuoc,_P._6",11,4.5,15500000
D11_0187,Banh_Bong_Lan_Trung_Muoi_Pho_Mai_Cha_Bong,Restaurant,Vietnamese,"195/80_Pho_Co_Dieu,_P._6",11,3.35,105000000
D11_0188,Chi_Ut__Vu_Heo_Nuong__Minh_Phung,Restaurant,Vietnamese,"304_Minh_Phung,_P._2",11,3.55,30000000
D11_0189,The_Leaf__An_Vat_&_Tra_Sua,Restaurant,Vietnamese,"91_Phan_Xich_Long,_P._16",11,4,23500000
D11_0190,Miyu_Dimsum,Restaurant,Asian,"409_Minh_Phung,_P._10",11,3.95,65000000
D11_0191,Poker_Tea_&_Coffee,Cafe,Vietnamese,"420_Lac_Long_Quan,_P._5",11,3.3,35000000
D11_0192,Canh_Bun__Hem_100_Binh_Thoi,Restaurant,Vietnamese,Cuoi_Hem_100_Binh_Thoi,11,3.45,16000000
D11_0193,Hoa_Vien_Phu_Tho__Dimsum_&_Coffee,Cafe,Vietnamese,"2_Le_Dai_Hanh,_P._15",11,3.95,60000000
